symbol,1,2,3,4,5,6,12,13,14,15,16,23,24,25,26,34,35,36,45,46,56,123,124,125,126,134,135,136,145,146,156
N,0.944292,0.998845,0.998783,0.680780,0.719898,0.953847,1.862296,1.897285,1.648571,1.666573,1.070045,1.521144,1.668239,1.719230,1.886981,1.656181,1.719180,1.913888,1.325459,1.652034,1.622244,2.882910,2.593462,2.595722,2.409968,2.596170,2.643866,2.225195,2.490242,2.284967,1.948413
O,0.735632,0.595170,0.993926,0.990315,0.973249,0.988974,1.419821,1.732044,1.730045,1.386735,1.221211,1.135768,1.380585,1.579508,1.587911,1.517595,1.968932,1.985553,1.962533,1.983319,1.484868,2.391352,2.180341,1.993978,2.470543,2.817796,2.347684,2.267093,2.267290,2.268945,2.622566
P,0.675008,0.507064,0.347233,0.991112,0.994914,0.864895,1.052379,1.146451,1.669847,1.671481,1.329903,0.969667,1.501788,1.504047,1.347688,1.074477,1.278598,1.263799,1.518081,1.782791,1.661058,1.456995,2.067494,2.067468,2.760975,2.166652,2.074385,1.824057,2.703743,2.331407,2.494619
Q,0.903932,0.964245,0.839560,0.519443,0.073867,0.904639,1.668529,1.779500,1.462905,1.013968,0.978286,1.400041,1.483518,1.047426,1.671114,1.224268,0.985269,1.779906,0.837949,1.463318,1.009928,2.555019,2.106929,1.905550,2.566981,2.276718,1.953959,1.812407,1.834045,1.798480,1.491589
R,0.988415,0.999483,0.997253,0.987427,0.959427,0.996821,1.959979,1.986641,1.980910,1.952889,1.785149,1.928910,1.985980,1.959135,1.988829,1.816881,1.954242,1.995214,1.723279,1.985455,1.839272,2.433460,2.834623,2.844568,2.631344,2.808480,2.516457,2.755155,2.710008,2.758342,2.464230
S,0.776398,0.795769,0.347233,0.585082,0.947080,0.970353,1.215623,1.194335,1.456074,1.737493,1.660608,1.097661,1.467094,1.765556,1.753101,1.076115,1.314392,1.327080,1.228251,1.507937,1.501019,2.096960,2.016771,1.994636,2.669495,2.025564,2.137154,2.197075,2.278170,2.136108,2.702314
T,0.660139,0.367458,0.865806,0.885507,0.393586,0.683739,1.079739,1.581611,1.594104,1.171248,0.790487,1.127829,1.266909,0.922593,1.095308,1.443679,1.236043,1.605576,1.140859,1.617572,1.088946,1.935329,1.997985,1.501880,1.881921,2.692222,2.055204,1.877543,2.157567,1.889666,2.042884
U,0.849538,0.898011,0.955773,0.985979,0.980531,0.910256,1.786257,1.823362,1.841548,1.834429,1.426592,1.437516,1.884055,1.886975,1.834959,1.874496,1.922514,1.884700,1.530338,1.889577,1.827003,2.649969,2.775929,2.775067,2.661678,2.776815,2.792301,2.666311,2.802455,2.672830,2.306626
V,0.991997,0.897173,0.865806,0.195692,0.998710,0.999986,1.685224,1.748594,1.190466,1.432123,1.415367,1.443099,1.091648,1.896441,1.896936,1.037528,1.865070,1.865627,1.186255,1.195634,1.183353,2.692947,1.987011,2.170440,2.442949,2.015242,2.222843,2.555961,1.792599,2.105269,2.512728
W,0.993501,0.858379,0.998783,0.999819,0.930024,0.995541,1.204578,1.992782,1.993399,1.924036,1.336733,1.847720,1.857499,1.818754,1.450240,1.403689,1.496455,1.994833,1.416701,1.995438,1.893162,2.215962,2.216596,2.171016,1.887740,2.527592,2.443799,2.336062,2.344526,2.336444,2.173635
X,0.999643,0.999108,0.536559,0.598504,0.566160,0.999682,1.260638,1.432581,1.598294,1.565913,1.186342,1.259635,1.597964,1.565634,1.366497,1.125507,1.275650,1.444561,1.205186,1.598313,1.502635,2.298421,2.028993,1.861278,2.054418,2.279476,2.117163,1.881434,2.357434,1.926235,1.970467
Y,0.876390,0.996798,0.993926,0.723777,0.957116,0.989683,1.582619,1.803308,1.653092,1.830152,1.743347,1.529785,1.679793,1.955309,1.969190,1.398270,1.953640,1.981327,1.528815,1.708934,1.453906,2.305567,2.286101,2.276185,2.253369,2.366440,2.633214,2.603531,2.374542,2.526233,2.780187
Z,0.431199,0.744551,0.955773,0.991384,0.978018,0.819517,1.123402,1.402263,1.426030,1.415833,1.153440,1.334570,1.725934,1.731896,1.619949,1.520799,1.871228,1.793937,1.521110,1.789829,1.359911,1.851740,2.109106,2.105814,2.147186,2.159055,2.301354,2.175009,2.170883,2.144729,2.593567
